Section,Key,English,Vietnamese,Has HTML,Notes
meta,meta.title,Racehub Driver's Academy,Học viện Đua xe Racehub,,
meta,meta.description,"Structured karting training in Vietnam — racecraft, coaching, and a real pathway from first laps to competitive racing.","Đào tạo karting bài bản tại Việt Nam — kỹ năng đua, huấn luyện chuyên sâu và lộ trình thực thụ từ vòng chạy đầu tiên đến đấu trường thi đấu.",,
nav,nav.logoAlt,Racehub,Racehub,,
nav,nav.programs,Programs,Chương trình,,
nav,nav.pathway,Pathway,Lộ trình,,
nav,nav.team,Coaches,Huấn luyện viên,,
nav,nav.approach,Training,Đào tạo,,
nav,nav.gear,Gear,Trang bị,,
nav,nav.apply,Apply Now,Đăng ký ngay,,
nav,nav.menu,Menu,Menu,,
hero,hero.label,Racehub Driver's Academy,Học viện Đua xe Racehub,,
hero,hero.line1,From First Laps,Từ Vòng Chạy Đầu Tiên,,
hero,hero.line2,To The Starting Grid,Đến Vạch Xuất Phát,,
hero,hero.applyBtn,Apply For The Academy,Đăng ký vào Học viện,,
hero,hero.viewPrograms,View Programs,Xem chương trình,,
hero,hero.imgAlt,Kart Racing,Đua kart,,
why,why.label,Why Join,Vì sao tham gia,,
why,why.headingLeft,Not Everyone,Không Phải Ai,,
why,why.headingRight,Belongs Here,Cũng Hợp Nơi Đây,,
why,why.usp1Title,Structured Training,Đào tạo bài bản,,
why,why.usp1Desc,"Every session follows a clear plan focused on improvement, not just track time.","Mỗi buổi tập đều theo kế hoạch rõ ràng, tập trung vào tiến bộ chứ không chỉ chạy cho có.",,
why,why.usp2Title,Real Racecraft,Kỹ năng đua thực chiến,,
why,why.usp2Desc,"We teach positioning, decision-making, and race awareness — not just speed.","Chúng tôi dạy cách chọn vị trí, ra quyết định và quan sát đường đua — không chỉ tốc độ.",,
why,why.usp3Title,Consistent Progression,Tiến bộ đều đặn,,
why,why.usp3Desc,"Drivers build skills step by step through regular, focused training.",Tay đua xây dựng kỹ năng từng bước qua các buổi tập đều đặn và tập trung.,,
why,why.usp4Title,Small Groups,Nhóm nhỏ,,
